,City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,Anadyr,RU,1659553484,64.75,177.4833,0,67,57.0,4.0
1,Ushuaia,AR,1659553552,-54.8,-68.3,75,87,42.42,1.14
2,Lebu,CL,1659553742,-37.6167,-73.65,50,74,51.87,4.63
3,Fortuna,US,1659553743,40.5982,-124.1573,20,81,70.93,10.36
4,Saint-Philippe,RE,1659553743,-21.3585,55.7679,48,83,69.39,8.41
5,Bluff,NZ,1659553743,-46.6,168.3333,100,74,44.8,16.4
6,Senno,RU,1659553744,59.5336,33.9167,8,74,59.27,2.24
7,Albany,US,1659553744,42.6001,-73.9662,6,43,89.67,4.0
8,Qaanaaq,GL,1659553744,77.484,-69.3632,90,63,45.14,0.65
9,Saint Paul Harbor,US,1659553745,57.79,-152.4072,0,49,69.31,9.22
10,Megion,RU,1659553745,61.0296,76.1136,99,71,57.22,7.0
11,Sohag,EG,1659553745,26.557,31.6948,4,17,93.88,14.7
12,Hilo,US,1659553615,19.7297,-155.09,20,74,81.1,4.61
13,Rikitea,PF,1659553746,-23.1203,-134.9692,94,68,72.14,16.26
14,Huarmey,PE,1659553746,-10.0681,-78.1522,46,72,67.59,12.53
15,Butaritari,KI,1659553746,3.0707,172.7902,72,80,80.38,14.25
16,Huejuquilla el Alto,MX,1659553747,22.6,-103.8667,81,43,79.09,3.62
17,Nikolskoye,RU,1659553747,59.7035,30.7861,36,83,67.89,2.35
18,Ponta do Sol,PT,1659553747,32.6667,-17.1,0,77,76.71,5.08
19,Chicama,PE,1659553748,-7.8447,-79.1469,15,62,61.34,11.48
20,Pevek,RU,1659553748,69.7008,170.3133,100,99,34.92,8.61
21,Kashgar,CN,1659553748,39.4547,75.9797,100,53,71.08,0.65
22,Río Gallegos,AR,1659553749,-51.6226,-69.2181,100,82,40.51,8.52
23,Maragogi,BR,1659553749,-9.0122,-35.2225,100,90,75.24,14.99
24,Kavieng,PG,1659553749,-2.5744,150.7967,99,78,81.88,16.49
25,Vila Franca do Campo,PT,1659553750,37.7167,-25.4333,33,74,73.81,8.34
26,Yatou,CN,1659553750,37.15,122.3833,1,95,77.02,7.18
27,Hithadhoo,MV,1659553750,-0.6,73.0833,84,72,81.39,16.26
28,São João da Barra,BR,1659553510,-21.6403,-41.0511,0,70,80.69,13.29
29,High Level,CA,1659553751,58.5169,-117.136,100,79,55.47,4.88
30,Busselton,AU,1659553751,-33.65,115.3333,91,75,53.6,17.76
31,Mar del Plata,AR,1659553644,-38.0023,-57.5575,15,92,50.88,4.0
32,Gurupi,BR,1659553751,-11.7292,-49.0686,5,16,95.77,7.7
33,Hofn,IS,1659553752,64.2539,-15.2082,82,75,48.33,19.77
34,Codrington,AU,1659553752,-38.2667,141.9667,0,89,49.87,14.85
35,Imperatriz,BR,1659553752,-5.5264,-47.4917,17,25,97.86,7.43
36,Mataura,NZ,1659553753,-46.1927,168.8643,100,87,44.47,3.15
37,Castro,BR,1659553753,-24.7911,-50.0119,6,42,75.58,5.17
38,Tegul'det,RU,1659553753,57.3064,88.1667,100,85,53.94,6.02
39,Springfield,US,1659553507,37.2153,-93.2982,0,44,98.98,14.97
40,Port Alfred,ZA,1659553754,-33.5906,26.891,29,74,64.18,3.0
41,Kaitangata,NZ,1659553754,-46.2817,169.8464,100,85,42.55,4.32
42,Tornio,FI,1659553754,65.8481,24.1466,100,94,60.82,14.43
43,East London,ZA,1659553755,-33.0153,27.9116,98,49,71.1,7.25
44,Mahébourg,MU,1659553755,-20.4081,57.7,60,68,67.24,12.64
45,Nemuro,JP,1659553755,43.3236,145.575,94,92,58.87,9.95
46,Thompson,CA,1659553756,55.7435,-97.8558,88,28,65.12,10.51
47,Markova,UA,1659553756,48.6758,24.4138,97,68,61.0,2.13
48,Ribeira Grande,PT,1659553756,38.5167,-28.7,75,83,79.2,10.36
49,Krasnosel'kup,RU,1659553757,65.7,82.4667,43,67,52.0,8.05
50,Hualmay,PE,1659553467,-11.0964,-77.6139,44,73,65.77,10.96
51,Bredasdorp,ZA,1659553757,-34.5322,20.0403,8,92,49.51,6.11
52,Saldanha,ZA,1659553757,-33.0117,17.9442,29,81,54.21,6.78
53,Tacna,PE,1659553758,-18.0056,-70.2483,0,52,64.6,9.22
54,Lumeje,AO,1659553758,-11.55,20.7833,83,29,76.1,5.3
55,New Norfolk,AU,1659553758,-42.7826,147.0587,100,90,49.5,5.14
56,Jimo,CN,1659553759,36.3897,120.4622,0,90,79.3,3.53
57,Jamestown,US,1659553746,42.097,-79.2353,0,47,88.95,12.66
58,Mandalgovi,MN,1659553759,45.7625,106.2708,0,82,60.26,11.99
59,Arraial do Cabo,BR,1659553759,-22.9661,-42.0278,20,68,73.26,9.22
